银行日记账
,,,,,
序号,记账日期,银行账户,银行简称,收/付,业务摘要,收款方/付款方,金额,余额
1,2026-05-01,6225880011112222,招行深圳,付,代发工资-5月,深圳市星海科技有限公司,128500.00,8721500.00
2,2026-05-01,6225880011112222,招行深圳,付,代发工资5月,广州蓝鲸网络科技有限公司,96200.50,8625299.50
3,2026-05-01,6225880011112222,招行深圳,付,报销款,行政部备用金,3200.00,8622099.50
4,2026-05-02,6217990033334444,工行北京,付,5月代发工资,北京云图信息技术有限公司,154300.00,12045700.00
5,2026-05-02,6217990033334444,工行北京,付,代发工资,北京云图信息技术,154300.00,11891400.00
6,2026-05-02,6217990033334444,工行北京,付,代发工资,支付宝(中国)网络技术-过渡户,200000.00,11691400.00
7,2026-05-03,6228550055556666,建行上海,付,代发工资5月,上海恒泰贸易有限公司,87650.00,5612350.00
8,2026-05-03,6228550055556666,建行上海,付,水电费,物业管理处,4500.00,5607850.00
9,2026-05-03,6228550055556666,建行上海,付,代发工资,杭州九州电子商务有限公司,73400.00,5534450.00
10,2026-05-04,6225880011112222,招行深圳,付,5月工资代发,成都天府软件有限公司,112000.00,8510099.50
11,2026-05-04,6225880011112222,招行深圳,付,代发工资,财付通-代发过渡户,150000.00,8360099.50
12,2026-05-05,6217990033334444,工行北京,付,代发工资5月,某未登记的小微企业,45000.00,11646400.00
