欢创集团 资金汇总表 2026年5月
,,,,,
序号,日期,付款银行账号,收款方,用途,金额
1,2026-05-01,6225 8801 2233 4455,深圳市星河科技有限公司,代发工资,"1,250,300.00"
2,2026-05-01,6225 8801 2233 4455,深圳星河科技,代发工资,"380,000.00"
3,2026-05-01,3301 6677 8899 0011,杭州云栖网络,代发工资,"560,500.50"
4,2026-05-02,6225 8801 2233 4455,广州市岭南贸易公司,代发工资,"720,000.00"
5,2026-05-02,4408 2211 5566 7788,招商物流(东莞),代发工资,"95,000.00"
6,2026-05-02,3301 6677 8899 0011,杭州云栖网络,水电费,"12,300.00"
7,2026-05-03,6225 8801 2233 4455,深圳市星河科技有限公司,代发工资,"640,200.00"
8,2026-05-03,4408 2211 5566 7788,李建国,代发工资,"8,500.00"
9,2026-05-03,5588 3344 7788 9900,北京明德咨询,代发工资,"210,000.00"
10,2026-05-04,3301 6677 8899 0011,杭州云栖网络科技有限公司,代发工资,"480,000.00"
11,2026-05-04,5588 3344 7788 9900,北京明德管理咨询有限公司,代发工资,"175,000.00"
12,2026-05-04,6225 8801 2233 4455,采购付款-某供应商,货款,"330,000.00"
13,2026-05-05,4408 2211 5566 7788,招商物流东莞分公司,代发工资,"102,400.00"
14,2026-05-05,5588 3344 7788 9900,新客户某某科技,代发工资,"66,000.00"
